initials,es_ID,study_ID,species_ID,population_ID,family_ID,shared_trt_ID,cohort_ID,note_ID,data_source,data_url,fig_file_name,data_type,data_file_name,peer.reviewed,ref,title,pub_year,journal,thesis_chapter,doi,citation,phylum,class,order,family,genus,species,genus_species,habitat,taxonomic_group,reproduction_mode,life_stage_manip,life_stage_tested,brought_common_temp,mobility_life_stage_manip,time_common_temp,common_temp,exp_design,origin_hatching,latitude,longitude,elevation,season,year,body_length,body_mass,age_tested,sex,housing_temp,incubation_independent,metric,endpoint,acc_temp_low,acc_temp_high,acc_temp_var,is_acc_temp_fluctuating,acc_duration,ramping,set_time,n_test_temp,n_replicates_per_temp,n_animals_per_replicate,humidity,oxygen,salinity,pH,photoperiod,gravidity,starved,minor_concerns,major_concerns,notes_moderators,mean_HT_low,sd_HT_low,n_HT_low,mean_HT_high,sd_HT_high,n_HT_high,error_type,notes_es,exclude,n_trt,n_cohort,within_study_mean_low,within_study_mean_high,within_study_sd_low,within_study_sd_high,between_study_mean_low,between_study_mean_high,between_study_sd_low,between_study_sd_high,imputed,imputed_sd_low,imputed_sd_high,dARR,Var_dARR,precision,is_concern
PP,1,1,1,1,1,1,1,Same cohort ID because nimals were re-used at different time points (2 weeks and 6 weeks),dataset,https://doi.org/10.5061/dryad.k4pf189,NA,published,NA,peer-reviewed,Abayarathna_et_al_2019,"Higher incubation temperatures produce long-lasting upward
shifts in cold tolerance, but not heat tolerance, of hatchling geckos",2019,Biology Open,NA,10.1242/bio.042564,"Abayarathna, Theja, Brad R. Murray, and Jonathan K. Webb. ""Higher incubation temperatures produce long-lasting upward shifts in cold tolerance, but not heat tolerance, of hatchling geckos."" Biology open 8, no. 4 (2019).",Chordata,Reptilia,Squamata,Diplodactylidae,Amalosia,lesueurii,Amalosia lesueurii,terrestrial,reptile,oviparous,embryo,juvenile,yes,immobile,14,23,D,lab,-34.89694444,150.6058333,35,spring,2016,23.071425,0.3652381,14,unknown,23,yes,CTmax,LRR,24.3,28.9,3.75,fluctuating,78.90476,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Nowra population. Latitude, longitude and elevation estimated from Google Earth. Mean SVL and body mass was calculated between the two acclimation groups using the raw data. Mean temperatures of acclimation were used, as well as mean variation around those temperatures. Duration of incubation calculated from raw data, as the mean between both incubation treatments.",39.65714,0.3641036,21,39.9,0.1414214,7,sd,Data extracted from the raw data,no,1,2,39.828834,40.023334,0.30069840800000003,0.202120046,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.3641036,0.1414214,0.05279565217391313,1.7060390739582793e-4,76.5606325809663,no
PP,2,1,1,1,1,2,1,Same cohort ID because nimals were re-used at different time points (2 weeks and 6 weeks),dataset,https://doi.org/10.5061/dryad.k4pf189,NA,published,NA,peer-reviewed,Abayarathna_et_al_2019,"Higher incubation temperatures produce long-lasting upward
shifts in cold tolerance, but not heat tolerance, of hatchling geckos",2019,Biology Open,NA,10.1242/bio.042564,"Abayarathna, Theja, Brad R. Murray, and Jonathan K. Webb. ""Higher incubation temperatures produce long-lasting upward shifts in cold tolerance, but not heat tolerance, of hatchling geckos."" Biology open 8, no. 4 (2019).",Chordata,Reptilia,Squamata,Diplodactylidae,Amalosia,lesueurii,Amalosia lesueurii,terrestrial,reptile,oviparous,embryo,juvenile,yes,immobile,42,23,D,lab,-34.89694444,150.6058333,35,spring,2016,26.9,0.502,42,unknown,23,yes,CTmax,LRR,24.3,28.9,3.75,fluctuating,78.90476,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Nowra population. Latitude, longitude and elevation estimated from Google Earth. Mean SVL and body mass was calculated between the two acclimation groups using the raw data. Mean temperatures of acclimation were used, as well as mean variation around those temperatures. Duration of incubation calculated from raw data, as the mean between both incubation treatments.",39.82,0.35629674,20,40.01667,0.07527727,6,sd,Data extracted from the raw data,no,1,2,39.828834,40.023334,0.30069840800000003,0.202120046,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.35629674,0.07527727,0.042754347826086427,1.9229494768100336e-4,72.11341510111353,no
PP,3,1,1,2,2,3,2,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",dataset,https://doi.org/10.5061/dryad.k4pf189,NA,published,NA,peer-reviewed,Abayarathna_et_al_2019,"Higher incubation temperatures produce long-lasting upward
shifts in cold tolerance, but not heat tolerance, of hatchling geckos",2019,Biology Open,NA,10.1242/bio.042564,"Abayarathna, Theja, Brad R. Murray, and Jonathan K. Webb. ""Higher incubation temperatures produce long-lasting upward shifts in cold tolerance, but not heat tolerance, of hatchling geckos."" Biology open 8, no. 4 (2019).",Chordata,Reptilia,Squamata,Diplodactylidae,Amalosia,lesueurii,Amalosia lesueurii,terrestrial,reptile,oviparous,embryo,juvenile,yes,immobile,14,23,D,lab,-34.07611111,150.8294444,279,spring,2016,23.876925,0.37176925,14,unknown,23,yes,CTmax,LRR,24.3,28.9,3.75,fluctuating,78.727275,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Dhawaral population. Latitude, longitude and elevation estimated from Google Earth. Mean SVL and body mass was calculated between the two acclimation groups using the raw data. Mean temperatures of acclimation were used, as well as mean variation around those temperatures. Duration of incubation calculated from raw data, as the mean between both incubation treatments.",39.76154,0.3686427,13,40.01,0.3034981,10,sd,Data extracted from the raw data,no,1,3,39.828834,40.023334,0.30069840800000003,0.202120046,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.3686427,0.3034981,0.05401304347826121,2.3860889688918823e-4,64.73761321340601,no
PP,4,1,1,2,2,4,2,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",dataset,https://doi.org/10.5061/dryad.k4pf189,NA,published,NA,peer-reviewed,Abayarathna_et_al_2019,"Higher incubation temperatures produce long-lasting upward
shifts in cold tolerance, but not heat tolerance, of hatchling geckos",2019,Biology Open,NA,10.1242/bio.042564,"Abayarathna, Theja, Brad R. Murray, and Jonathan K. Webb. ""Higher incubation temperatures produce long-lasting upward shifts in cold tolerance, but not heat tolerance, of hatchling geckos."" Biology open 8, no. 4 (2019).",Chordata,Reptilia,Squamata,Diplodactylidae,Amalosia,lesueurii,Amalosia lesueurii,terrestrial,reptile,oviparous,embryo,juvenile,yes,immobile,42,23,D,lab,-34.07611111,150.8294444,279,spring,2016,28.403845,0.52223075,42,unknown,23,yes,CTmax,LRR,24.3,28.9,3.75,fluctuating,78.727275,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Dhawaral population. Latitude, longitude and elevation estimated from Google Earth. Mean SVL and body mass was calculated between the two acclimation groups using the raw data. Mean temperatures of acclimation were used, as well as mean variation around those temperatures. Duration of incubation calculated from raw data, as the mean between both incubation treatments.",39.97692,0.20064,13,40.03,0.28303906,10,sd,Data extracted from the raw data,no,1,3,39.828834,40.023334,0.30069840800000003,0.202120046,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.20064,0.28303906,0.011539130434782907,1.3063730189710623e-4,87.49160809149993,no
PP,5,1,1,2,2,5,2,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",dataset,https://doi.org/10.5061/dryad.k4pf189,NA,published,NA,peer-reviewed,Abayarathna_et_al_2019,"Higher incubation temperatures produce long-lasting upward
shifts in cold tolerance, but not heat tolerance, of hatchling geckos",2019,Biology Open,NA,10.1242/bio.042564,"Abayarathna, Theja, Brad R. Murray, and Jonathan K. Webb. ""Higher incubation temperatures produce long-lasting upward shifts in cold tolerance, but not heat tolerance, of hatchling geckos."" Biology open 8, no. 4 (2019).",Chordata,Reptilia,Squamata,Diplodactylidae,Amalosia,lesueurii,Amalosia lesueurii,terrestrial,reptile,oviparous,embryo,juvenile,yes,immobile,182.5,23,D,lab,-34.07611111,150.8294444,279,spring,2016,NA,NA,182.5,unknown,23,yes,CTmax,LRR,24.3,28.9,3.75,fluctuating,78.727275,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Dhawaral population. Latitude, longitude and elevation estimated from Google Earth. Mean SVL and body mass was calculated between the two acclimation groups using the raw data. Mean temperatures of acclimation were used, as well as mean variation around those temperatures. Duration of incubation calculated from raw data, as the mean between both incubation treatments.",39.92857,0.213809,7,40.16,0.2073644,5,sd,Data extracted from the raw data,no,1,3,39.828834,40.023334,0.30069840800000003,0.202120046,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.213809,0.2073644,0.05031086956521655,1.74771218764808e-4,75.64235520509105,no
PP,6,2,2,3,3,6,3,Treatments re-used in stepwise comparisons,Fig1A,NA,001_Akhtar_2013_Fig1A,published,NA,peer-reviewed,Akhtar_et_al_2013,"Thermal tolerance, oxygen consumption
and haemato-biochemical variables of Tor putitora
juveniles acclimated to five temperatures",2013,Fish Physiology and Biochemistry,NA,10.1007/s10695-013-9793-7,"Akhtar, M. S., A. K. Pal, N. P. Sahu, A. Ciji, and P. C. Mahanta. ""Thermal tolerance, oxygen consumption and haemato-biochemical variables of Tor putitora juveniles acclimated to five temperatures."" Fish physiology and biochemistry 39, no. 6 (2013): 1387-1398.",Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tor,putitora,Tor putitora,aquatic,fish,oviparous,juvenile,juvenile,no,mobile,NA,NA,A,fishery,NA,NA,NA,NA,NA,NA,15.81,NA,unknown,20,no,CTmax,LOE,20,23,0.5,constant,30,0.3,NA,NA,NA,NA,NA,6.4,NA,7.985,NA,NA,NA,NA,NA,Coordinates not reported because only the location of the fishery was provided. Mean pH concentration was calculated from Tab1.,36.42618,0.2989729,20,37.74095,0.4982881,20,sd,Data digitised from figure,no,4,1,39.2284125,40.59331625,0.7474322,0.8470898125,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.2989729,0.4982881,0.43825666666666524,0.0018759768085334445,23.087997536516095,no
PP,7,2,2,3,3,6,4,Treatments re-used in stepwise comparisons,Fig1A,NA,001_Akhtar_2013_Fig1A,published,NA,peer-reviewed,Akhtar_et_al_2013,"Thermal tolerance, oxygen consumption
and haemato-biochemical variables of Tor putitora
juveniles acclimated to five temperatures",2013,Fish Physiology and Biochemistry,NA,10.1007/s10695-013-9793-7,"Akhtar, M. S., A. K. Pal, N. P. Sahu, A. Ciji, and P. C. Mahanta. ""Thermal tolerance, oxygen consumption and haemato-biochemical variables of Tor putitora juveniles acclimated to five temperatures."" Fish physiology and biochemistry 39, no. 6 (2013): 1387-1398.",Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tor,putitora,Tor putitora,aquatic,fish,oviparous,juvenile,juvenile,no,mobile,NA,NA,A,fishery,NA,NA,NA,NA,NA,NA,15.81,NA,unknown,20,yes,CTmax,LOE,23,26,0.5,constant,30,0.3,NA,NA,NA,NA,NA,6.4,NA,7.75,NA,NA,NA,NA,NA,Coordinates not reported because only the location of the fishery was provided. Mean pH concentration was calculated from Tab1.,37.74095,0.4982881,20,39.54596,0.4982881,20,sd,Data digitised from figure,no,4,1,39.2284125,40.59331625,0.7474322,0.8470898125,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.4982881,0.4982881,0.6016700000000009,0.0027587892289067774,19.038851179679263,no
PP,8,2,2,3,3,6,5,Treatments re-used in stepwise comparisons,Fig1A,NA,001_Akhtar_2013_Fig1A,published,NA,peer-reviewed,Akhtar_et_al_2013,"Thermal tolerance, oxygen consumption
and haemato-biochemical variables of Tor putitora
juveniles acclimated to five temperatures",2013,Fish Physiology and Biochemistry,NA,10.1007/s10695-013-9793-7,"Akhtar, M. S., A. K. Pal, N. P. Sahu, A. Ciji, and P. C. Mahanta. ""Thermal tolerance, oxygen consumption and haemato-biochemical variables of Tor putitora juveniles acclimated to five temperatures."" Fish physiology and biochemistry 39, no. 6 (2013): 1387-1398.",Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tor,putitora,Tor putitora,aquatic,fish,oviparous,juvenile,juvenile,no,mobile,NA,NA,A,fishery,NA,NA,NA,NA,NA,NA,15.81,NA,unknown,20,yes,CTmax,LOE,26,29,0.5,constant,30,0.3,NA,NA,NA,NA,NA,6.4,NA,7.415,NA,NA,NA,NA,NA,Coordinates not reported because only the location of the fishery was provided. Mean pH concentration was calculated from Tab1.,39.54596,0.4982881,20,40.70474,1.594522,20,sd,Data digitised from figure,no,4,1,39.2284125,40.59331625,0.7474322,0.8470898125,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.4982881,1.594522,0.38626000000000005,0.015504396883808943,8.031054285518497,no
PP,9,2,2,3,3,6,6,Treatments re-used in stepwise comparisons,Fig1A,NA,001_Akhtar_2013_Fig1A,published,NA,peer-reviewed,Akhtar_et_al_2013,"Thermal tolerance, oxygen consumption
and haemato-biochemical variables of Tor putitora
juveniles acclimated to five temperatures",2013,Fish Physiology and Biochemistry,NA,10.1007/s10695-013-9793-7,"Akhtar, M. S., A. K. Pal, N. P. Sahu, A. Ciji, and P. C. Mahanta. ""Thermal tolerance, oxygen consumption and haemato-biochemical variables of Tor putitora juveniles acclimated to five temperatures."" Fish physiology and biochemistry 39, no. 6 (2013): 1387-1398.",Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tor,putitora,Tor putitora,aquatic,fish,oviparous,juvenile,juvenile,no,mobile,NA,NA,A,fishery,NA,NA,NA,NA,NA,NA,15.81,NA,unknown,20,yes,CTmax,LOE,29,32,0.5,constant,30,0.3,NA,NA,NA,NA,NA,6.4,NA,6.885,NA,NA,NA,NA,NA,Coordinates not reported because only the location of the fishery was provided. Mean pH concentration was calculated from Tab1.,40.70474,1.594522,20,41.84123,0.797261,20,sd,Data digitised from figure,no,4,1,39.2284125,40.59331625,0.7474322,0.8470898125,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,1.594522,0.797261,0.37883000000000067,0.017656252836694444,7.525766342515187,no
PP,10,2,2,3,3,7,7,Treatments re-used in stepwise comparisons,Fig1A,NA,001_Akhtar_2013_Fig1A,published,NA,peer-reviewed,Akhtar_et_al_2013,"Thermal tolerance, oxygen consumption
and haemato-biochemical variables of Tor putitora
juveniles acclimated to five temperatures",2013,Fish Physiology and Biochemistry,NA,10.1007/s10695-013-9793-7,"Akhtar, M. S., A. K. Pal, N. P. Sahu, A. Ciji, and P. C. Mahanta. ""Thermal tolerance, oxygen consumption and haemato-biochemical variables of Tor putitora juveniles acclimated to five temperatures."" Fish physiology and biochemistry 39, no. 6 (2013): 1387-1398.",Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tor,putitora,Tor putitora,aquatic,fish,oviparous,juvenile,juvenile,no,mobile,NA,NA,A,fishery,NA,NA,NA,NA,NA,NA,15.81,NA,unknown,20,no,CTmax,death,20,23,0.5,constant,30,0.3,NA,NA,NA,NA,NA,6.4,NA,7.985,NA,NA,NA,NA,NA,Coordinates not reported because only the location of the fishery was provided. Mean pH concentration was calculated from Tab1.,37.45125,0.5979458,20,38.83287,0.797261,20,sd,Data digitised from figure,no,4,1,39.2284125,40.59331625,0.7474322,0.8470898125,34.73055500801087,35.525506797521736,0.7803775388472577,0.7399743220592873,no,0.5979458,0.797261,0.46053999999999934,0.005517579343659111,13.462499694452621,no
